Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 11;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_04_1441;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
35.0 -14.5 -1.0 0.77
20.0 -19.5 -1.0 0.48
-20.0 -14.5 -1.0 0.35
-5.0 5.5 1.0 0.42
35.0 -4.5 -1.0 0.45
-10.0 -19.5 -1.0 0.36
-35.0 -6.5 -1.0 0.46
30.0 -9.5 -1.0 0.33
-40.0 -9.5 -1.0 0.33
10.0 0.5 -1.0 0.35
-15.0 0.5 -1.0 0.41
-10.0 -6.5 1.0 0.75
-20.0 -9.5 -1.0 0.63
-35.0 -2.5 -1.0 1.27
-40.0 -4.5 -1.0 0.82
-15.0 -6.5 1.0 0.86
15.0 10.5 1.0 0.47
40.0 0.5 1.0 0.47
-45.0 -6.5 1.0 0.44
-20.0 -2.5 1.0 0.53
35.0 0.5 1.0 0.49
10.0 -4.5 -1.0 0.65
10.0 -2.5 -1.0 0.59
-25.0 -4.5 -1.0 0.46
-15.0 -2.5 1.0 0.94
15.0 -19.5 -1.0 0.46
-40.0 10.5 1.0 0.47
-5.0 -9.5 -1.0 0.43
40.0 -4.5 -1.0 0.42
30.0 10.5 1.0 0.47
40.0 10.5 1.0 0.44
-35.0 10.5 1.0 0.31
-30.0 -14.5 -1.0 0.43
-10.0 0.5 1.0 0.44
10.0 -19.5 -1.0 0.44
30.0 -2.5 -1.0 0.63
10.0 5.5 -1.0 1.33
-35.0 5.5 1.0 0.52
-25.0 10.5 1.0 0.41
-10.0 5.5 1.0 0.38
15.0 5.5 1.0 0.64
-25.0 -6.5 -1.0 0.46
40.0 5.5 1.0 0.75
-25.0 5.5 1.0 0.45
-10.0 -4.5 1.0 0.68
25.0 10.5 1.0 0.44
-45.0 10.5 1.0 0.39
0.0 -9.5 -1.0 0.44
-15.0 -4.5 -1.0 0.52
-45.0 0.5 -1.0 0.56
-25.0 -19.5 -1.0 0.44
20.0 -2.5 -1.0 0.59
0.0 -19.5 -1.0 0.35
25.0 -14.5 -1.0 0.35
35.0 -19.5 -1.0 0.30
15.0 -4.5 -1.0 0.32
-35.0 -9.5 -1.0 0.35
-30.0 0.5 -1.0 0.39
0.0 -14.5 -1.0 0.40
-45.0 -9.5 -1.0 0.34
25.0 5.5 1.0 0.96
-20.0 5.5 1.0 0.35
-40.0 -19.5 -1.0 0.38
35.0 10.5 1.0 0.42
-30.0 -19.5 -1.0 0.39
5.0 10.5 1.0 0.35
-25.0 -9.5 -1.0 0.30
-25.0 -2.5 -1.0 0.47
-35.0 -14.5 -1.0 0.37
20.0 -6.5 -1.0 0.27
40.0 -9.5 -1.0 0.33
15.0 -2.5 -1.0 0.68
-5.0 -6.5 -1.0 0.28
-15.0 -9.5 -1.0 0.28
-10.0 -9.5 -1.0 0.31
5.0 -2.5 -1.0 0.33
5.0 -9.5 -1.0 0.32
0.0 -2.5 -1.0 0.52
-5.0 -2.5 -1.0 0.30
-25.0 -14.5 -1.0 0.42
-30.0 -9.5 -1.0 0.35
-20.0 0.5 1.0 0.61
25.0 -19.5 -1.0 0.40
-5.0 -14.5 -1.0 0.44
25.0 -4.5 -1.0 0.48
0.0 10.5 1.0 0.39
-10.0 10.5 1.0 0.31
-25.0 0.5 1.0 0.62
25.0 -9.5 -1.0 0.43
15.0 -9.5 -1.0 0.33
5.0 0.5 -1.0 0.48
15.0 -14.5 -1.0 0.34
-15.0 5.5 1.0 0.39
-30.0 -2.5 -1.0 1.78
5.0 -14.5 -1.0 0.48
0.0 -6.5 -1.0 0.35
0.0 5.5 1.0 0.46
35.0 -2.5 -1.0 0.49
10.0 -9.5 -1.0 0.44
30.0 5.5 -1.0 1.34
-40.0 0.5 -1.0 0.59
5.0 -4.5 -1.0 0.36
30.0 -14.5 -1.0 0.31
-20.0 -19.5 -1.0 0.33
-45.0 -19.5 -1.0 0.29
40.0 -19.5 -1.0 0.29
40.0 -2.5 -1.0 0.52
-45.0 -4.5 -1.0 0.34
-35.0 0.5 -1.0 0.38
35.0 5.5 1.0 0.87
-5.0 10.5 1.0 0.33
10.0 10.5 1.0 0.33
35.0 -6.5 -1.0 0.41
-15.0 10.5 1.0 0.38
40.0 -14.5 -1.0 0.38
30.0 0.5 -1.0 0.98
20.0 -14.5 -1.0 0.31
0.0 0.5 -1.0 0.65
-10.0 -14.5 -1.0 0.41
20.0 -9.5 -1.0 0.44
-45.0 -14.5 -1.0 0.32
-15.0 -14.5 -1.0 0.33
-5.0 -4.5 -1.0 0.30
-20.0 -4.5 1.0 0.79
25.0 0.5 -1.0 1.50
-45.0 5.5 1.0 1.56
-35.0 -4.5 -1.0 0.51
10.0 -14.5 -1.0 0.46
-45.0 -2.5 -1.0 0.59
15.0 0.5 -1.0 0.42
5.0 -6.5 -1.0 0.39
15.0 -6.5 -1.0 0.41
-35.0 -19.5 -1.0 0.38
-40.0 5.5 1.0 0.60
-40.0 -14.5 -1.0 0.48
30.0 -6.5 -1.0 0.53
-30.0 -4.5 -1.0 0.42
5.0 5.5 1.0 0.62
-15.0 -19.5 -1.0 0.42
-20.0 -6.5 -1.0 1.17
