Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Dark SVV task: a rod is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 12;
nRepetitions = 10;
condition = darkSVV;
location = v;
expDate = 2016_Mar_22_0859;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 2.0 -1.0 3.11
0.0 -8.0 -1.0 6.22
0.0 -12.0 -1.0 4.69
0.0 5.0 1.0 1.34
0.0 12.0 1.0 1.04
0.0 0.0 1.0 1.66
0.0 -2.0 -1.0 1.44
0.0 -5.0 -1.0 0.89
0.0 8.0 1.0 0.80
0.0 2.0 1.0 1.52
0.0 -12.0 -1.0 1.62
0.0 12.0 1.0 0.76
0.0 8.0 1.0 0.90
0.0 0.0 -1.0 1.32
0.0 5.0 1.0 0.79
0.0 -2.0 -1.0 0.69
0.0 -8.0 -1.0 1.15
0.0 -5.0 -1.0 0.75
0.0 5.0 1.0 0.70
0.0 2.0 1.0 0.73
0.0 0.0 1.0 1.09
0.0 -5.0 -1.0 0.82
0.0 -12.0 -1.0 0.67
0.0 -8.0 -1.0 1.08
0.0 8.0 1.0 0.79
0.0 -2.0 -1.0 0.58
0.0 12.0 1.0 0.52
0.0 -5.0 -1.0 0.48
0.0 8.0 1.0 0.47
0.0 2.0 1.0 0.83
0.0 0.0 -1.0 1.66
0.0 12.0 1.0 0.49
0.0 -8.0 -1.0 0.66
0.0 -2.0 -1.0 0.77
0.0 5.0 1.0 0.43
0.0 -12.0 -1.0 0.86
0.0 -2.0 -1.0 0.74
0.0 8.0 1.0 0.41
0.0 -5.0 -1.0 0.91
0.0 -8.0 -1.0 0.69
0.0 5.0 1.0 0.71
0.0 12.0 1.0 0.36
0.0 2.0 1.0 0.77
0.0 -12.0 -1.0 0.64
0.0 0.0 1.0 1.47
0.0 -8.0 1.0 0.98
0.0 2.0 -1.0 1.26
0.0 -5.0 -1.0 0.70
0.0 5.0 1.0 0.67
0.0 12.0 1.0 0.75
0.0 8.0 1.0 0.46
0.0 0.0 1.0 1.87
0.0 -2.0 -1.0 0.50
0.0 -12.0 -1.0 0.41
0.0 -2.0 -1.0 0.38
0.0 12.0 1.0 0.66
0.0 8.0 1.0 0.71
0.0 2.0 1.0 0.88
0.0 0.0 1.0 0.77
0.0 5.0 1.0 0.64
0.0 -5.0 -1.0 0.79
0.0 -12.0 -1.0 0.39
0.0 -8.0 -1.0 0.51
0.0 0.0 -1.0 1.02
0.0 12.0 1.0 0.55
0.0 2.0 1.0 0.40
0.0 -12.0 -1.0 0.53
0.0 -5.0 -1.0 0.32
0.0 -2.0 -1.0 0.38
0.0 5.0 -1.0 0.28
0.0 8.0 1.0 0.39
0.0 -8.0 1.0 2.13
0.0 -8.0 -1.0 0.36
0.0 -12.0 -1.0 0.35
0.0 0.0 -1.0 0.64
0.0 12.0 1.0 0.40
0.0 2.0 1.0 0.23
0.0 8.0 1.0 0.29
0.0 5.0 1.0 0.38
0.0 -5.0 1.0 0.29
0.0 -2.0 -1.0 0.15
0.0 -2.0 -1.0 1.25
0.0 5.0 1.0 1.18
0.0 0.0 -1.0 1.38
0.0 -5.0 -1.0 0.61
0.0 8.0 1.0 0.88
0.0 2.0 -1.0 0.53
0.0 -12.0 -1.0 0.50
0.0 12.0 -1.0 0.46
0.0 -8.0 99.0 0.21
