Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Apr_13_1337;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-30.0 0.0 -1.0 1.16
5.0 -17.0 -1.0 0.60
-10.0 3.0 1.0 0.69
10.0 -17.0 -1.0 0.88
-40.0 -5.0 1.0 0.94
25.0 -5.0 -1.0 0.75
-5.0 -17.0 -1.0 0.40
-45.0 0.0 1.0 0.75
-10.0 -7.0 1.0 1.05
30.0 -10.0 -1.0 0.70
20.0 -13.0 -1.0 0.42
35.0 -13.0 -1.0 0.50
25.0 -13.0 -1.0 0.39
-40.0 0.0 1.0 0.67
-15.0 -3.0 1.0 0.92
-5.0 7.0 1.0 0.57
40.0 7.0 1.0 0.67
-5.0 -3.0 1.0 0.80
20.0 -17.0 -1.0 0.72
0.0 -17.0 -1.0 0.67
20.0 -5.0 -1.0 0.60
35.0 -5.0 -1.0 0.93
30.0 3.0 1.0 0.75
40.0 0.0 1.0 0.43
40.0 -3.0 1.0 1.21
15.0 3.0 1.0 0.68
-25.0 -3.0 1.0 0.50
-10.0 -10.0 -1.0 0.84
-45.0 -10.0 -1.0 0.46
-45.0 7.0 1.0 0.62
35.0 7.0 1.0 0.52
30.0 7.0 1.0 0.53
-25.0 -7.0 -1.0 0.78
15.0 -10.0 -1.0 0.49
25.0 -7.0 -1.0 0.89
-45.0 -13.0 -1.0 0.56
5.0 -5.0 -1.0 1.32
40.0 3.0 1.0 0.56
0.0 3.0 1.0 0.50
-20.0 -17.0 -1.0 0.70
-40.0 -13.0 -1.0 0.68
-40.0 -3.0 1.0 0.88
10.0 -13.0 -1.0 0.66
30.0 -13.0 -1.0 0.74
-25.0 0.0 1.0 0.63
0.0 -5.0 -1.0 1.93
10.0 3.0 1.0 0.61
-35.0 7.0 1.0 0.61
-25.0 -17.0 -1.0 0.69
30.0 -17.0 -1.0 0.54
-5.0 -13.0 -1.0 0.69
-30.0 7.0 1.0 0.67
-40.0 3.0 1.0 0.61
-15.0 -5.0 1.0 0.67
20.0 -7.0 -1.0 0.91
10.0 7.0 1.0 0.66
0.0 7.0 1.0 0.51
10.0 -3.0 -1.0 0.69
25.0 -3.0 1.0 0.84
-20.0 0.0 1.0 0.49
25.0 3.0 1.0 0.51
-40.0 -17.0 -1.0 0.68
-30.0 -17.0 -1.0 0.58
40.0 -10.0 -1.0 0.69
25.0 -10.0 -1.0 0.49
10.0 -7.0 -1.0 0.47
-25.0 7.0 1.0 0.69
-15.0 -13.0 -1.0 0.68
-5.0 0.0 1.0 0.77
-25.0 -5.0 1.0 0.77
5.0 -3.0 1.0 1.56
35.0 3.0 1.0 0.66
-30.0 -3.0 1.0 0.77
5.0 7.0 1.0 0.69
-35.0 -5.0 -1.0 0.81
0.0 -3.0 -1.0 0.67
30.0 -7.0 -1.0 0.70
40.0 -7.0 -1.0 0.67
35.0 -17.0 -1.0 0.57
35.0 -7.0 -1.0 0.82
15.0 -17.0 -1.0 0.57
25.0 7.0 1.0 0.73
-45.0 -7.0 -1.0 0.69
15.0 -13.0 -1.0 0.49
-15.0 -7.0 1.0 0.77
-10.0 -5.0 1.0 0.55
-10.0 7.0 1.0 0.56
40.0 -13.0 -1.0 0.76
-20.0 -7.0 -1.0 0.69
20.0 0.0 1.0 0.67
-45.0 -17.0 -1.0 0.66
-15.0 -17.0 -1.0 0.59
10.0 0.0 1.0 1.00
-15.0 0.0 1.0 0.54
-25.0 -10.0 -1.0 0.76
-10.0 -17.0 -1.0 0.57
5.0 3.0 1.0 0.62
-45.0 -5.0 -1.0 0.87
-35.0 0.0 1.0 0.68
20.0 7.0 1.0 0.70
-30.0 -13.0 -1.0 0.67
-30.0 -5.0 -1.0 1.23
-15.0 -10.0 -1.0 0.61
-35.0 3.0 1.0 0.73
30.0 -5.0 1.0 0.82
-30.0 -7.0 1.0 0.58
-20.0 -5.0 1.0 0.86
-15.0 3.0 1.0 0.54
10.0 -5.0 -1.0 0.81
20.0 -3.0 1.0 0.84
40.0 -17.0 -1.0 0.60
15.0 -5.0 1.0 0.86
15.0 7.0 1.0 0.65
-5.0 -7.0 -1.0 1.03
30.0 0.0 1.0 0.71
15.0 -3.0 1.0 0.62
-25.0 3.0 1.0 0.52
0.0 -7.0 -1.0 0.69
-10.0 0.0 1.0 0.66
-35.0 -13.0 -1.0 0.66
-10.0 -3.0 1.0 0.65
-20.0 -13.0 -1.0 0.74
20.0 -10.0 -1.0 0.45
5.0 -13.0 -1.0 0.40
-25.0 -13.0 -1.0 0.56
-35.0 -7.0 -1.0 0.83
35.0 -3.0 1.0 0.67
-20.0 7.0 1.0 0.45
-30.0 3.0 1.0 0.51
-5.0 3.0 1.0 0.53
-40.0 -10.0 -1.0 0.68
30.0 -3.0 -1.0 1.02
-40.0 7.0 1.0 0.57
-20.0 3.0 1.0 0.45
35.0 -10.0 -1.0 0.62
10.0 -10.0 -1.0 0.65
-20.0 -10.0 -1.0 1.02
-20.0 -3.0 1.0 0.66
5.0 -10.0 -1.0 0.76
-45.0 -3.0 1.0 0.79
25.0 0.0 1.0 0.64
20.0 3.0 1.0 0.74
