Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Apr_13_1443;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 -16.0 -1.0 0.77
-20.0 -11.0 -1.0 0.57
-30.0 -4.0 -1.0 0.40
20.0 9.0 1.0 0.54
20.0 -1.0 -1.0 0.62
5.0 -1.0 -1.0 0.50
15.0 -1.0 -1.0 0.43
25.0 -8.0 -1.0 0.40
-30.0 9.0 1.0 0.63
-35.0 -16.0 -1.0 0.51
-20.0 -21.0 -1.0 0.40
40.0 4.0 1.0 0.61
10.0 4.0 1.0 0.46
15.0 -8.0 -1.0 0.55
-45.0 4.0 1.0 0.58
-45.0 -16.0 -1.0 0.37
-35.0 -6.0 -1.0 0.49
-25.0 -4.0 -1.0 0.45
-20.0 4.0 1.0 0.57
-35.0 -11.0 -1.0 0.55
-10.0 -4.0 -1.0 1.05
-10.0 9.0 1.0 0.54
40.0 -21.0 -1.0 0.56
40.0 -6.0 -1.0 0.61
30.0 -11.0 -1.0 0.43
-30.0 -6.0 -1.0 0.38
-10.0 -16.0 -1.0 0.36
-15.0 4.0 1.0 0.64
35.0 4.0 1.0 0.73
30.0 -1.0 1.0 0.56
-20.0 -4.0 1.0 0.53
5.0 -11.0 -1.0 0.64
5.0 -8.0 -1.0 0.33
35.0 -21.0 -1.0 0.34
30.0 -8.0 -1.0 0.62
15.0 9.0 1.0 0.67
10.0 -4.0 -1.0 0.66
0.0 -8.0 -1.0 0.43
-15.0 -8.0 -1.0 0.45
0.0 -6.0 -1.0 0.59
-10.0 -1.0 1.0 0.78
15.0 4.0 1.0 0.52
-10.0 4.0 1.0 0.45
15.0 -21.0 -1.0 0.58
10.0 -1.0 -1.0 0.51
-25.0 9.0 1.0 0.58
10.0 9.0 1.0 0.56
-45.0 -6.0 -1.0 0.67
-35.0 -1.0 -1.0 0.62
-5.0 9.0 1.0 0.58
20.0 -21.0 -1.0 0.57
-30.0 -1.0 -1.0 0.54
-40.0 -6.0 -1.0 0.47
30.0 -4.0 -1.0 0.48
-20.0 9.0 1.0 0.55
-30.0 4.0 1.0 0.39
-25.0 -6.0 -1.0 0.57
-5.0 -16.0 -1.0 0.40
5.0 -6.0 -1.0 0.45
5.0 -21.0 -1.0 0.36
-10.0 -6.0 -1.0 0.63
20.0 -16.0 -1.0 0.48
40.0 -1.0 -1.0 0.59
35.0 9.0 1.0 0.63
0.0 9.0 1.0 0.44
40.0 9.0 1.0 0.45
35.0 -16.0 -1.0 0.56
-5.0 4.0 1.0 0.59
40.0 -8.0 -1.0 0.63
-5.0 -1.0 1.0 0.65
25.0 -1.0 -1.0 0.56
-45.0 -21.0 -1.0 0.40
30.0 -21.0 -1.0 0.39
35.0 -4.0 -1.0 0.83
-40.0 -8.0 -1.0 0.44
-20.0 -6.0 -1.0 0.51
25.0 -6.0 -1.0 0.46
0.0 -4.0 -1.0 0.69
35.0 -8.0 -1.0 0.60
25.0 -11.0 -1.0 0.53
10.0 -16.0 -1.0 0.57
-25.0 -8.0 -1.0 1.22
5.0 -16.0 -1.0 0.47
-15.0 -16.0 -1.0 0.61
-20.0 -1.0 1.0 0.63
0.0 4.0 1.0 0.47
-40.0 -1.0 1.0 0.50
-35.0 -8.0 -1.0 0.52
-10.0 -11.0 -1.0 0.38
25.0 -16.0 -1.0 0.44
40.0 -4.0 -1.0 0.76
-20.0 -8.0 -1.0 0.43
-40.0 9.0 1.0 0.67
-45.0 -11.0 -1.0 0.60
-35.0 -4.0 -1.0 0.45
-5.0 -6.0 -1.0 0.93
-15.0 -6.0 1.0 0.69
-15.0 -11.0 -1.0 0.92
15.0 -4.0 -1.0 0.96
-25.0 -16.0 -1.0 0.60
-15.0 -1.0 1.0 0.64
20.0 -8.0 -1.0 0.61
-40.0 -11.0 -1.0 0.44
-5.0 -8.0 -1.0 0.52
25.0 -4.0 -1.0 0.51
-30.0 -8.0 -1.0 0.52
-35.0 -21.0 -1.0 0.50
40.0 -11.0 -1.0 0.42
-30.0 -21.0 -1.0 0.46
0.0 -11.0 -1.0 0.55
35.0 -6.0 -1.0 1.24
-40.0 -4.0 1.0 1.25
0.0 -21.0 -1.0 0.54
15.0 -6.0 -1.0 0.51
0.0 -1.0 1.0 0.65
10.0 -21.0 -1.0 0.53
-10.0 -8.0 1.0 0.59
-30.0 -16.0 -1.0 0.76
-5.0 -11.0 -1.0 0.60
20.0 -4.0 1.0 0.81
-15.0 -21.0 -1.0 0.67
25.0 9.0 1.0 0.65
10.0 -8.0 -1.0 0.70
-25.0 -21.0 -1.0 1.00
10.0 -6.0 -1.0 0.95
35.0 -1.0 1.0 1.16
35.0 -11.0 -1.0 0.58
-10.0 -21.0 -1.0 0.54
-45.0 -8.0 -1.0 0.84
-40.0 4.0 1.0 0.61
30.0 -16.0 -1.0 0.55
-25.0 -1.0 1.0 0.71
40.0 -16.0 -1.0 0.79
25.0 -21.0 -1.0 0.44
20.0 4.0 1.0 0.57
-15.0 -4.0 1.0 0.43
-45.0 9.0 1.0 0.42
20.0 -11.0 -1.0 0.70
-35.0 9.0 1.0 0.64
-45.0 -4.0 -1.0 0.87
