Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Feb_25_1005;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-45.0 5.5 1.0 0.52
-20.0 2.5 -1.0 0.42
5.0 -14.5 -1.0 0.30
25.0 15.5 1.0 0.28
5.0 5.5 -1.0 0.40
20.0 15.5 1.0 0.27
40.0 -1.5 -1.0 0.32
-25.0 -4.5 -1.0 0.36
-25.0 -14.5 -1.0 0.39
-30.0 -4.5 -1.0 0.33
0.0 -4.5 -1.0 0.31
-35.0 -1.5 -1.0 0.36
-20.0 0.5 -1.0 0.39
-30.0 0.5 -1.0 0.32
-20.0 -14.5 -1.0 0.35
15.0 -9.5 -1.0 0.33
-45.0 -9.5 -1.0 0.34
-5.0 5.5 1.0 0.31
-45.0 2.5 -1.0 0.32
30.0 2.5 -1.0 0.34
-5.0 -4.5 -1.0 0.43
-15.0 10.5 1.0 0.37
20.0 -4.5 -1.0 0.34
15.0 15.5 1.0 0.28
30.0 5.5 1.0 0.55
-20.0 5.5 1.0 0.36
-45.0 10.5 1.0 0.41
-15.0 2.5 -1.0 0.35
25.0 0.5 -1.0 0.37
30.0 10.5 1.0 0.31
0.0 5.5 1.0 0.43
0.0 10.5 1.0 0.40
25.0 2.5 -1.0 0.34
-35.0 15.5 1.0 0.30
-45.0 0.5 -1.0 0.35
35.0 -4.5 -1.0 0.35
-15.0 -4.5 -1.0 0.35
15.0 0.5 -1.0 0.38
-20.0 15.5 1.0 0.32
-10.0 -1.5 -1.0 0.34
15.0 -4.5 -1.0 0.34
-25.0 2.5 -1.0 0.43
-10.0 0.5 -1.0 0.36
-45.0 -14.5 -1.0 0.38
-30.0 -9.5 -1.0 0.38
-15.0 0.5 -1.0 0.43
-25.0 10.5 1.0 0.30
-10.0 2.5 -1.0 0.44
-25.0 -9.5 -1.0 0.38
10.0 15.5 1.0 0.33
35.0 5.5 1.0 0.48
10.0 -1.5 -1.0 0.36
0.0 -1.5 -1.0 0.44
0.0 -9.5 -1.0 0.39
-40.0 2.5 1.0 0.42
-25.0 -1.5 -1.0 0.38
-35.0 2.5 1.0 0.54
-15.0 5.5 1.0 0.40
20.0 -9.5 -1.0 0.38
10.0 -9.5 -1.0 0.36
40.0 5.5 -1.0 0.44
10.0 2.5 -1.0 0.40
-45.0 -1.5 -1.0 0.35
5.0 0.5 -1.0 0.31
-5.0 -9.5 -1.0 0.32
15.0 -1.5 -1.0 0.31
15.0 -14.5 -1.0 0.38
35.0 2.5 -1.0 0.36
40.0 0.5 -1.0 0.40
25.0 -9.5 -1.0 0.36
-20.0 10.5 1.0 0.28
30.0 15.5 1.0 0.31
-15.0 15.5 1.0 0.31
-40.0 -1.5 -1.0 0.33
30.0 -1.5 -1.0 0.33
-25.0 15.5 1.0 0.42
10.0 10.5 -1.0 0.75
30.0 -9.5 -1.0 0.38
35.0 -9.5 -1.0 0.33
0.0 0.5 1.0 0.47
-10.0 5.5 1.0 0.37
-10.0 -14.5 -1.0 0.39
-35.0 -9.5 -1.0 0.36
-25.0 0.5 1.0 0.45
-45.0 15.5 1.0 0.34
15.0 10.5 1.0 0.35
-15.0 -9.5 -1.0 0.40
-15.0 -1.5 -1.0 0.39
0.0 15.5 1.0 0.31
-5.0 -14.5 -1.0 0.36
20.0 -1.5 -1.0 0.37
-35.0 5.5 1.0 0.51
-5.0 -1.5 -1.0 0.42
-30.0 -1.5 -1.0 0.52
10.0 -4.5 -1.0 0.41
10.0 0.5 -1.0 0.36
-10.0 10.5 1.0 0.35
30.0 0.5 -1.0 0.36
25.0 10.5 1.0 0.37
-20.0 -9.5 -1.0 0.39
-5.0 2.5 -1.0 0.56
25.0 -4.5 -1.0 0.37
15.0 2.5 -1.0 0.40
-40.0 5.5 -1.0 0.38
-30.0 -14.5 -1.0 0.36
40.0 -9.5 -1.0 0.36
40.0 2.5 -1.0 0.35
5.0 -9.5 -1.0 0.44
25.0 -14.5 -1.0 0.38
10.0 5.5 1.0 0.41
40.0 -4.5 -1.0 0.42
30.0 -4.5 -1.0 0.37
20.0 5.5 1.0 0.42
-45.0 -4.5 -1.0 0.41
20.0 10.5 1.0 0.33
-10.0 -4.5 -1.0 0.38
-10.0 -9.5 -1.0 0.35
-35.0 -14.5 -1.0 0.38
5.0 -4.5 -1.0 0.35
-40.0 -9.5 -1.0 0.37
35.0 10.5 1.0 0.37
35.0 0.5 -1.0 0.36
-40.0 -4.5 -1.0 0.36
10.0 -14.5 -1.0 0.30
0.0 2.5 1.0 0.25
35.0 -14.5 -1.0 0.37
-40.0 0.5 -1.0 0.41
25.0 5.5 1.0 0.49
-5.0 15.5 1.0 0.31
40.0 10.5 1.0 0.34
-25.0 5.5 1.0 0.46
20.0 -14.5 -1.0 0.31
-30.0 10.5 1.0 0.31
-35.0 10.5 1.0 0.30
-10.0 15.5 1.0 0.31
5.0 2.5 -1.0 0.47
20.0 2.5 -1.0 0.45
-40.0 15.5 1.0 0.29
15.0 5.5 -1.0 0.47
-30.0 2.5 -1.0 0.37
40.0 -14.5 -1.0 0.41
35.0 15.5 1.0 0.33
-40.0 -14.5 -1.0 0.41
