Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Dark SVV task: a rod is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 6;
nRepetitions = 10;
condition = darkSVV;
location = v;
expDate = 2016_Feb_29_1004;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 8.0 1.0 0.57
0.0 5.0 1.0 0.54
0.0 12.0 1.0 0.43
0.0 -8.0 -1.0 0.40
0.0 -2.0 -1.0 0.36
0.0 -5.0 -1.0 0.41
0.0 0.0 -1.0 0.32
0.0 -12.0 -1.0 0.40
0.0 2.0 -1.0 0.29
0.0 0.0 -1.0 0.47
0.0 8.0 -1.0 0.39
0.0 12.0 1.0 0.45
0.0 5.0 -1.0 0.50
0.0 -5.0 -1.0 0.40
0.0 2.0 1.0 0.59
0.0 -2.0 -1.0 0.55
0.0 -8.0 -1.0 0.35
0.0 -12.0 -1.0 0.33
0.0 2.0 1.0 0.66
0.0 -12.0 -1.0 0.52
0.0 5.0 1.0 0.45
0.0 8.0 1.0 0.40
0.0 -8.0 -1.0 0.35
0.0 12.0 1.0 0.43
0.0 -2.0 -1.0 0.29
0.0 -5.0 -1.0 0.29
0.0 0.0 -1.0 0.31
0.0 5.0 1.0 0.53
0.0 2.0 -1.0 0.51
0.0 -2.0 -1.0 0.53
0.0 -8.0 -1.0 0.35
0.0 12.0 1.0 0.45
0.0 -5.0 -1.0 0.43
0.0 8.0 1.0 0.42
0.0 -12.0 -1.0 0.32
0.0 0.0 1.0 0.32
0.0 12.0 1.0 0.35
0.0 -8.0 -1.0 0.52
0.0 -2.0 -1.0 0.45
0.0 -12.0 -1.0 0.44
0.0 2.0 1.0 0.43
0.0 -5.0 1.0 0.71
0.0 8.0 1.0 0.41
0.0 5.0 1.0 0.42
0.0 0.0 -1.0 0.53
0.0 8.0 1.0 0.58
0.0 5.0 1.0 0.42
0.0 2.0 1.0 0.62
0.0 -8.0 -1.0 0.45
0.0 12.0 1.0 0.54
0.0 0.0 -1.0 0.48
0.0 -12.0 -1.0 0.44
0.0 -5.0 -1.0 0.42
0.0 -2.0 -1.0 0.92
0.0 -2.0 -1.0 0.67
0.0 -5.0 -1.0 0.37
0.0 2.0 -1.0 0.59
0.0 8.0 1.0 0.42
0.0 12.0 1.0 0.38
0.0 5.0 1.0 0.62
0.0 0.0 -1.0 0.55
0.0 -8.0 -1.0 0.44
0.0 -12.0 -1.0 0.40
0.0 -2.0 -1.0 0.62
0.0 12.0 1.0 0.33
0.0 8.0 1.0 0.43
0.0 -8.0 -1.0 0.41
0.0 0.0 -1.0 0.67
0.0 -12.0 -1.0 0.53
0.0 2.0 1.0 1.68
0.0 5.0 1.0 0.44
0.0 -5.0 -1.0 0.63
0.0 -8.0 -1.0 0.57
0.0 -5.0 -1.0 0.42
0.0 0.0 -1.0 0.39
0.0 2.0 -1.0 0.46
0.0 12.0 1.0 0.36
0.0 -12.0 -1.0 0.47
0.0 -2.0 -1.0 0.42
0.0 5.0 1.0 0.60
0.0 8.0 1.0 0.36
0.0 -8.0 -1.0 0.38
0.0 8.0 1.0 0.36
0.0 12.0 1.0 0.32
0.0 -12.0 -1.0 0.36
0.0 5.0 1.0 0.42
0.0 -5.0 -1.0 0.41
0.0 -2.0 1.0 0.60
0.0 0.0 -1.0 0.49
0.0 2.0 1.0 0.39
