Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Dark SVV task: a rod is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = darkSVV;
location = v;
expDate = 2016_Mar_29_0903;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 5.0 1.0 0.91
0.0 12.0 1.0 0.53
0.0 -5.0 -1.0 0.48
0.0 0.0 1.0 0.41
0.0 -8.0 -1.0 0.59
0.0 -12.0 -1.0 0.51
0.0 8.0 1.0 0.53
0.0 2.0 -1.0 0.41
0.0 -2.0 -1.0 0.95
0.0 -8.0 -1.0 0.60
0.0 2.0 1.0 0.80
0.0 5.0 1.0 0.54
0.0 12.0 1.0 0.47
0.0 8.0 1.0 0.49
0.0 -2.0 1.0 0.40
0.0 0.0 1.0 0.56
0.0 -12.0 -1.0 0.57
0.0 -5.0 -1.0 0.47
0.0 5.0 1.0 0.54
0.0 2.0 1.0 0.72
0.0 0.0 1.0 0.97
0.0 -8.0 -1.0 0.55
0.0 8.0 1.0 0.51
0.0 -12.0 -1.0 0.46
0.0 -5.0 -1.0 0.60
0.0 -2.0 -1.0 0.48
0.0 12.0 1.0 0.54
0.0 0.0 -1.0 0.51
0.0 -8.0 1.0 0.44
0.0 -5.0 -1.0 0.81
0.0 -2.0 -1.0 0.72
0.0 5.0 1.0 0.57
0.0 12.0 1.0 0.87
0.0 8.0 1.0 0.43
0.0 -12.0 -1.0 0.52
0.0 2.0 1.0 0.64
0.0 8.0 1.0 0.68
0.0 -12.0 -1.0 0.53
0.0 -2.0 -1.0 0.50
0.0 5.0 1.0 0.63
0.0 -5.0 -1.0 0.49
0.0 12.0 1.0 0.56
0.0 -8.0 -1.0 0.46
0.0 2.0 1.0 0.72
0.0 0.0 -1.0 1.07
0.0 12.0 1.0 0.44
0.0 -8.0 -1.0 0.45
0.0 8.0 1.0 0.67
0.0 -12.0 -1.0 0.47
0.0 2.0 1.0 0.76
0.0 0.0 -1.0 0.42
0.0 5.0 1.0 0.68
0.0 -5.0 -1.0 0.52
0.0 -2.0 -1.0 0.58
0.0 8.0 1.0 0.59
0.0 -5.0 -1.0 0.51
0.0 2.0 1.0 2.10
0.0 12.0 1.0 0.68
0.0 -12.0 -1.0 0.46
0.0 0.0 -1.0 0.99
0.0 -2.0 -1.0 0.65
0.0 -8.0 -1.0 0.46
0.0 5.0 1.0 0.66
0.0 -2.0 -1.0 0.76
0.0 5.0 1.0 0.58
0.0 8.0 -1.0 0.47
0.0 -8.0 -1.0 0.55
0.0 12.0 1.0 0.57
0.0 -5.0 -1.0 0.61
0.0 0.0 -1.0 0.85
0.0 2.0 1.0 1.03
0.0 -12.0 -1.0 0.63
0.0 -2.0 -1.0 0.63
0.0 5.0 1.0 0.73
0.0 2.0 1.0 0.80
0.0 0.0 1.0 1.01
0.0 -8.0 -1.0 0.61
0.0 -5.0 -1.0 0.55
0.0 12.0 1.0 0.55
0.0 8.0 1.0 0.51
0.0 -12.0 -1.0 0.61
0.0 5.0 1.0 0.54
0.0 -12.0 -1.0 0.54
0.0 -8.0 -1.0 0.48
0.0 2.0 1.0 0.76
0.0 12.0 1.0 0.50
0.0 -5.0 -1.0 0.69
0.0 0.0 1.0 1.29
0.0 -2.0 -1.0 0.69
0.0 8.0 1.0 0.52
