Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
35.0 -8.0 -1.0 0.94
-15.0 2.0 1.0 0.51
0.0 -5.0 -1.0 0.68
20.0 -8.0 -1.0 0.63
35.0 -5.0 -1.0 0.51
10.0 0.0 -1.0 0.45
-30.0 -2.0 -1.0 0.52
-10.0 -5.0 -1.0 0.73
35.0 5.0 -1.0 0.90
-20.0 8.0 1.0 0.51
-20.0 12.0 1.0 0.59
-35.0 12.0 1.0 0.48
40.0 -5.0 -1.0 0.62
40.0 2.0 1.0 0.84
0.0 -8.0 -1.0 0.52
15.0 -2.0 -1.0 0.60
-25.0 8.0 1.0 0.50
20.0 5.0 -1.0 0.71
-40.0 -2.0 -1.0 0.78
-35.0 2.0 1.0 0.53
-30.0 8.0 1.0 0.56
-35.0 0.0 1.0 0.82
-25.0 -12.0 -1.0 0.53
-45.0 5.0 1.0 0.64
5.0 0.0 -1.0 0.48
-5.0 -2.0 -1.0 0.52
-45.0 12.0 1.0 0.51
0.0 12.0 1.0 0.50
30.0 -8.0 -1.0 0.54
-5.0 0.0 1.0 0.60
30.0 5.0 1.0 0.66
-15.0 8.0 1.0 0.49
20.0 0.0 -1.0 0.74
25.0 -12.0 -1.0 0.49
20.0 -12.0 -1.0 0.45
-10.0 0.0 1.0 0.45
25.0 -2.0 -1.0 0.44
-40.0 12.0 1.0 0.49
-5.0 5.0 1.0 0.47
-5.0 8.0 1.0 0.42
0.0 -12.0 -1.0 0.51
20.0 -5.0 -1.0 0.43
30.0 2.0 -1.0 0.52
35.0 -2.0 -1.0 0.47
-40.0 5.0 -1.0 0.47
-35.0 -8.0 -1.0 0.63
15.0 2.0 -1.0 0.60
-5.0 -12.0 -1.0 0.55
-15.0 5.0 1.0 0.44
0.0 5.0 1.0 0.49
-30.0 5.0 1.0 0.49
-35.0 -2.0 1.0 0.76
-30.0 2.0 1.0 0.51
0.0 0.0 -1.0 0.77
-45.0 -12.0 -1.0 0.70
-25.0 -5.0 -1.0 0.69
-25.0 2.0 1.0 0.55
5.0 5.0 1.0 0.57
-35.0 -5.0 -1.0 0.52
40.0 5.0 1.0 0.69
35.0 -12.0 -1.0 0.49
-20.0 -12.0 -1.0 0.54
40.0 12.0 1.0 0.51
5.0 8.0 1.0 0.54
-5.0 -5.0 -1.0 0.55
-10.0 8.0 1.0 0.57
-40.0 2.0 1.0 0.53
-20.0 -5.0 -1.0 0.56
10.0 2.0 -1.0 0.51
25.0 8.0 1.0 0.45
15.0 12.0 1.0 0.45
25.0 2.0 -1.0 0.53
-10.0 12.0 1.0 0.50
40.0 0.0 1.0 1.20
35.0 12.0 1.0 0.53
-25.0 5.0 1.0 0.51
15.0 5.0 -1.0 0.65
-10.0 -12.0 -1.0 0.54
5.0 -2.0 -1.0 0.55
-45.0 0.0 1.0 0.87
-45.0 -8.0 -1.0 0.77
-40.0 -12.0 -1.0 0.53
-25.0 -8.0 -1.0 0.52
0.0 2.0 1.0 0.72
-15.0 0.0 1.0 0.59
30.0 12.0 1.0 0.54
-10.0 2.0 1.0 0.42
-10.0 -8.0 -1.0 0.69
-45.0 2.0 1.0 0.52
10.0 -8.0 -1.0 0.48
20.0 12.0 1.0 0.50
15.0 0.0 -1.0 0.60
-30.0 -8.0 -1.0 0.68
30.0 8.0 1.0 0.49
30.0 -2.0 -1.0 0.60
40.0 -8.0 -1.0 0.53
-35.0 8.0 1.0 0.61
40.0 -12.0 -1.0 0.57
30.0 -12.0 -1.0 0.43
-35.0 -12.0 -1.0 0.44
15.0 -5.0 -1.0 0.46
10.0 -5.0 -1.0 0.39
5.0 12.0 1.0 0.52
15.0 8.0 -1.0 0.61
0.0 8.0 1.0 0.48
20.0 8.0 1.0 0.47
25.0 12.0 1.0 0.55
-45.0 -2.0 -1.0 0.72
-45.0 -5.0 -1.0 0.53
-40.0 8.0 1.0 0.55
-40.0 -5.0 1.0 1.12
-30.0 -5.0 -1.0 0.61
35.0 0.0 -1.0 0.77
25.0 0.0 -1.0 0.62
-5.0 12.0 1.0 0.51
-30.0 12.0 1.0 0.49
-45.0 8.0 1.0 0.52
30.0 0.0 1.0 0.47
-35.0 5.0 1.0 0.62
-20.0 5.0 1.0 0.59
-5.0 2.0 1.0 0.50
-25.0 12.0 1.0 0.48
-25.0 -2.0 1.0 0.45
-15.0 12.0 1.0 0.49
10.0 8.0 1.0 0.45
-20.0 -8.0 -1.0 0.73
0.0 -2.0 -1.0 0.57
-25.0 0.0 1.0 0.48
10.0 12.0 1.0 0.50
5.0 -8.0 -1.0 0.51
20.0 2.0 -1.0 0.66
10.0 -12.0 -1.0 0.51
20.0 -2.0 -1.0 0.50
5.0 2.0 -1.0 0.62
40.0 -2.0 -1.0 0.54
40.0 8.0 1.0 0.48
10.0 5.0 1.0 0.80
35.0 8.0 1.0 0.59
-15.0 -8.0 -1.0 0.45
-20.0 -2.0 1.0 0.51
-10.0 5.0 1.0 0.54
-5.0 -8.0 -1.0 0.55
-20.0 0.0 1.0 0.65
-15.0 -12.0 -1.0 0.49
